编号,SMILES,InChL,HomoEnergy,LumoEnergy,EnergyGap,偶极矩,极化率
5,C#N,1S/CHN/c1-2/h1H,-0.3604,0.0191,0.3796,2.8937,12.99
10,CC#N,1S/C2H3N/c1-2-3/h1H3,-0.3264,0.0376,0.364,3.8266,24.45
24,C#CC#N,1S/C3HN/c1-2-3-4/h1H,-0.3102,-0.0543,0.2559,3.792,32.66
25,N#CC#N,1S/C2N2/c3-1-2-4,-0.3696,-0.0926,0.277,0.0023,27.7
31,CCC#N,"1S/C3H5N/c1-2-3-4/h2H2,1H3",-0.3213,0.034,0.3553,3.9233,35.38
32,NCC#N,"1S/C2H4N2/c3-1-2-4/h1,3H2",-0.2683,0.0173,0.2855,4.4361,31.81
45,CN1CC1,"1S/C3H7N/c1-4-2-3-4/h2-3H2,1H3",-0.2304,0.0968,0.3271,1.1353,39.02
50,N1C=CC=C1,1S/C4H5N/c1-2-4-5-3-1/h1-5H,-0.2029,0.0499,0.2528,1.8689,43.14
51,N1C=CN=C1,"1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",-0.2253,0.0332,0.2585,3.6193,39.13
58,NC(=N)C#N,"1S/C2H3N3/c3-1-2(4)5/h(H3,4,5)",-0.2739,-0.0438,0.2301,5.1815,38.31
64,CC(C)C#N,"1S/C4H7N/c1-4(2)3-5/h4H,1-2H3",-0.318,0.0365,0.3545,3.9512,46.23
65,CC(N)C#N,"1S/C3H6N2/c1-3(5)2-4/h3H,5H2,1H3",-0.2704,0.0278,0.2983,2.7429,42.87
102,CC1CN1C,"1S/C4H9N/c1-4-3-5(4)2/h4H,3H2,1-2H3",-0.2199,0.0931,0.313,1.2483,49.79
108,C#CCC#N,"1S/C4H3N/c1-2-3-4-5/h1H,3H2",-0.2911,0.0111,0.3022,3.5925,40.56
109,N#CCC#N,1S/C3H2N2/c4-2-1-3-5/h1H2,-0.3494,-0.0151,0.3344,3.6958,36.12
116,CC#CC#N,1S/C4H3N/c1-2-3-4-5/h1H3,-0.2871,-0.0377,0.2494,5.1545,47.82
122,CCCC#N,"1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",-0.3185,0.0365,0.355,4.0641,46.62
123,CNCC#N,"1S/C3H6N2/c1-5-3-2-4/h5H,3H2,1H3",-0.249,0.0208,0.2698,4.1469,43.52
140,C#CC1CN1,"1S/C4H5N/c1-2-4-3-5-4/h1,4-5H,3H2",-0.2422,0.0322,0.2744,1.2763,45.22
142,N#CC1CC1,"1S/C4H5N/c5-3-4-1-2-4/h4H,1-2H2",-0.2931,0.0289,0.322,4.1966,43.5
143,N#CC1CN1,"1S/C3H4N2/c4-1-3-2-5-3/h3,5H,2H2",-0.2775,0.0076,0.2851,2.8377,40.21
151,CCN1CC1,"1S/C4H9N/c1-2-5-3-4-5/h2-4H2,1H3",-0.2299,0.095,0.3249,1.0617,50.07
165,N1C=CC=N1,"1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)",-0.2438,0.0239,0.2677,2.2277,39.17
166,N1C=CN=N1,"1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)",-0.2641,-0.0023,0.2618,4.2954,35.66
167,N1C=NC=N1,"1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)",-0.2705,0.0059,0.2764,2.79,35.01
168,N1C=NN=C1,"1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)",-0.2551,0.0164,0.2715,5.498,35.27
169,N1N=CC=N1,"1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)",-0.2742,-0.0055,0.2687,0.0597,35.3
190,CC1=CC=CN1,"1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",-0.1934,0.0496,0.243,1.9162,55.77
194,NC1=CC=CN1,"1S/C4H6N2/c5-4-2-1-3-6-4/h1-3,6H,5H2",-0.185,0.0556,0.2406,1.5102,51.62
201,CC1=CNC=C1,"1S/C5H7N/c1-5-2-3-6-4-5/h2-4,6H,1H3",-0.1982,0.0533,0.2515,1.6978,55.32
202,CC1=CNC=N1,"1S/C4H6N2/c1-4-2-5-3-6-4/h2-3H,1H3,(H,5,6)",-0.2157,0.0376,0.2533,3.3147,51.32
205,NC1=CNC=C1,"1S/C4H6N2/c5-4-1-2-6-3-4/h1-3,6H,5H2",-0.1741,0.0558,0.2299,1.8044,51.67
206,NC1=CNC=N1,"1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)",-0.1849,0.0391,0.2241,3.0074,47.82
212,CN1C=CC=C1,"1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3",-0.2006,0.0463,0.2469,2.0318,55.54
213,CN1C=CN=C1,"1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3",-0.2216,0.0324,0.2541,3.9054,51.11
215,C1=CC=NC=C1,1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,-0.2518,-0.0225,0.2293,2.1103,53.03
216,C1=CN=CC=N1,1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H,-0.2493,-0.0511,0.1982,0,49.2
217,C1=CN=CN=C1,1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,-0.2531,-0.0415,0.2116,2.2031,48.47
218,C1=NC=NC=N1,1S/C3H3N3/c1-4-2-6-3-5-1/h1-3H,-0.2768,-0.0554,0.2214,0.0001,43.74
