number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
0,0.8204153020154357,2024-06-07 17:33:04.073829,2024-06-07 17:33:05.089699,0 days 00:00:01.015870,0.06790082729238318,0.046483602774868,9,6,255,COMPLETE
1,0.7489079486458105,2024-06-07 17:33:04.076821,2024-06-07 17:33:04.801469,0 days 00:00:00.724648,0.20865902653602475,0.24428785856085924,3,5,270,COMPLETE
2,0.8684999656216017,2024-06-07 17:33:04.111729,2024-06-07 17:33:04.947081,0 days 00:00:00.835352,0.025511340301094504,0.2436878266023088,10,1,279,COMPLETE
3,0.9058352487350418,2024-06-07 17:33:04.119706,2024-06-07 17:33:05.030855,0 days 00:00:00.911149,0.006400262544163274,0.17930247355595308,10,6,268,COMPLETE
4,0.9326472608764453,2024-06-07 17:33:04.125691,2024-06-07 17:33:05.235309,0 days 00:00:01.109618,0.0010644339672615639,0.16302708888741962,10,2,278,COMPLETE
5,0.7589264985324071,2024-06-07 17:33:04.128682,2024-06-07 17:33:04.914168,0 days 00:00:00.785486,0.17739124456162925,0.03666788992463443,8,4,211,COMPLETE
6,0.8008167931457055,2024-06-07 17:33:04.139652,2024-06-07 17:33:04.650288,0 days 00:00:00.510636,0.09688049036075098,0.23019152906958212,8,2,192,COMPLETE
7,0.7423773024543534,2024-06-07 17:33:04.141648,2024-06-07 17:33:04.849341,0 days 00:00:00.707693,0.2118465918523179,0.13598677808033618,3,3,279,COMPLETE
8,0.7794104087220116,2024-06-07 17:33:04.653280,2024-06-07 17:33:05.345015,0 days 00:00:00.691735,0.10844222269030537,0.26612609656230374,2,6,250,COMPLETE
9,0.7541856201838208,2024-06-07 17:33:04.804461,2024-06-07 17:33:05.705625,0 days 00:00:00.901164,0.19546300475350029,0.08802941228082671,5,2,263,COMPLETE
10,0.7507883469785748,2024-06-07 17:33:04.852332,2024-06-07 17:33:05.507580,0 days 00:00:00.655248,0.17330232174002363,0.020362624255174402,10,5,109,COMPLETE
11,0.8505598761537385,2024-06-07 17:33:04.917159,2024-06-07 17:33:05.323074,0 days 00:00:00.405915,0.012804495117994159,0.17606601820630155,3,1,129,COMPLETE
12,0.7701259552700283,2024-06-07 17:33:04.948076,2024-06-07 17:33:05.577394,0 days 00:00:00.629318,0.14506296388029777,0.11095690470271537,10,3,198,COMPLETE
13,0.7376633360649151,2024-06-07 17:33:05.033847,2024-06-07 17:33:05.970917,0 days 00:00:00.937070,0.2585946016810126,0.19700360884345014,9,2,260,COMPLETE
14,0.8489593779606328,2024-06-07 17:33:05.092690,2024-06-07 17:33:05.684682,0 days 00:00:00.591992,0.036235839724073245,0.0582243050750704,5,3,100,COMPLETE
15,0.8191368651894638,2024-06-07 17:33:05.238301,2024-06-07 17:33:06.162405,0 days 00:00:00.924104,0.07675874359172472,0.249283466042751,10,6,250,COMPLETE
16,0.7559624811137181,2024-06-07 17:33:05.326066,2024-06-07 17:33:06.316992,0 days 00:00:00.990926,0.17247796095131795,0.18206618028994045,2,2,256,COMPLETE
17,0.7144887706293934,2024-06-07 17:33:05.347010,2024-06-07 17:33:05.912074,0 days 00:00:00.565064,0.298985031009693,0.10583536979639174,6,3,112,COMPLETE
18,0.7240562125263837,2024-06-07 17:33:05.511569,2024-06-07 17:33:06.667684,0 days 00:00:01.156115,0.2717383983390993,0.13067351051423656,6,3,299,COMPLETE
19,0.7272454659992683,2024-06-07 17:33:05.579388,2024-06-07 17:33:06.606218,0 days 00:00:01.026830,0.28705582649374217,0.19157269040609307,6,2,296,COMPLETE
20,0.7286799340112751,2024-06-07 17:33:05.687674,2024-06-07 17:33:06.805316,0 days 00:00:01.117642,0.25793550189040254,0.17661119774709363,6,2,295,COMPLETE
21,0.7279127706588879,2024-06-07 17:33:05.714603,2024-06-07 17:33:06.530421,0 days 00:00:00.815818,0.28828470234551085,0.19251851046179988,8,4,229,COMPLETE
22,0.8294790730098891,2024-06-07 17:33:05.914070,2024-06-07 17:33:06.889093,0 days 00:00:00.975023,0.0604663259457173,0.18609978551535256,8,5,229,COMPLETE
23,0.9076285978165602,2024-06-07 17:33:05.972911,2024-06-07 17:33:07.135435,0 days 00:00:01.162524,0.0049294003876724805,0.2986031096263488,7,4,300,COMPLETE
24,0.9139861611389087,2024-06-07 17:33:06.165397,2024-06-07 17:33:07.312960,0 days 00:00:01.147563,0.003328320974199195,0.2974161005772384,7,4,294,COMPLETE
25,0.8386122018921496,2024-06-07 17:33:06.318986,2024-06-07 17:33:07.299993,0 days 00:00:00.981007,0.04878812078043328,0.15052721479146267,7,4,223,COMPLETE
26,0.844593476797672,2024-06-07 17:33:06.533413,2024-06-07 17:33:07.911904,0 days 00:00:01.378491,0.04463089406052161,0.14423137370203104,7,5,296,COMPLETE
27,0.9290285587266066,2024-06-07 17:33:06.607215,2024-06-07 17:33:07.621135,0 days 00:00:01.013920,0.0013994471941611005,0.14509343446477907,7,5,174,COMPLETE
28,0.9078678943312981,2024-06-07 17:33:06.669679,2024-06-07 17:33:07.570271,0 days 00:00:00.900592,0.005499922549435731,0.2178695020238366,9,1,229,COMPLETE
29,0.9175533784002639,2024-06-07 17:33:06.808309,2024-06-07 17:33:07.803198,0 days 00:00:00.994889,0.0027714545306692373,0.2972577698971165,9,1,228,COMPLETE
30,0.9189703039210566,2024-06-07 17:33:06.891088,2024-06-07 17:33:07.734379,0 days 00:00:00.843291,0.0025560901254350205,0.2998609803786711,9,1,170,COMPLETE
31,0.9108427993327916,2024-06-07 17:33:07.139423,2024-06-07 17:33:08.019616,0 days 00:00:00.880193,0.004803424509156461,0.28274425694412236,9,4,173,COMPLETE
32,0.8950787503623525,2024-06-07 17:33:07.301989,2024-06-07 17:33:08.277925,0 days 00:00:00.975936,0.009343065447808465,0.2793843521698292,9,5,165,COMPLETE
33,0.9011530461449532,2024-06-07 17:33:07.315951,2024-06-07 17:33:08.185173,0 days 00:00:00.869222,0.006074805311040668,0.29876949967830074,7,4,160,COMPLETE
34,0.8578183724232215,2024-06-07 17:33:07.573263,2024-06-07 17:33:08.417551,0 days 00:00:00.844288,0.03301157602893098,0.29903116809356634,9,1,149,COMPLETE
35,0.8539682305104092,2024-06-07 17:33:07.624127,2024-06-07 17:33:08.404586,0 days 00:00:00.780459,0.03526227904599624,0.2972076433594092,7,5,145,COMPLETE
36,0.8506366373719281,2024-06-07 17:33:07.737370,2024-06-07 17:33:08.740458,0 days 00:00:01.003088,0.035987513252546045,0.06652899898313777,9,1,167,COMPLETE
37,0.8052268490304728,2024-06-07 17:33:07.812170,2024-06-07 17:33:08.601061,0 days 00:00:00.788891,0.08226339123144599,0.15606624866149346,9,1,170,COMPLETE
38,0.8633471958005142,2024-06-07 17:33:07.914896,2024-06-07 17:33:08.777359,0 days 00:00:00.862463,0.02731179082125569,0.2757518590044818,9,1,174,COMPLETE
39,0.8581974719210953,2024-06-07 17:33:08.022609,2024-06-07 17:33:08.884074,0 days 00:00:00.861465,0.029732140388104244,0.2741007194885134,9,1,158,COMPLETE
40,0.8625205472229188,2024-06-07 17:33:08.188164,2024-06-07 17:33:09.068579,0 days 00:00:00.880415,0.026667172318359314,0.2733605575073569,9,1,163,COMPLETE
