number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.937741290318829,2024-06-06 16:52:06.950551,2024-06-06 16:52:34.634389,0 days 00:00:27.683838,38,4,2,277,COMPLETE
1,0.9376143066402742,2024-06-06 16:52:06.952750,2024-06-06 16:52:29.905643,0 days 00:00:22.952893,25,4,5,228,COMPLETE
2,0.9409889249134142,2024-06-06 16:52:06.964988,2024-06-06 16:52:18.549244,0 days 00:00:11.584256,44,1,2,102,COMPLETE
3,0.9376267564866091,2024-06-06 16:52:06.977184,2024-06-06 16:52:31.569370,0 days 00:00:24.592186,43,4,4,245,COMPLETE
4,0.9377480036345784,2024-06-06 16:52:06.989707,2024-06-06 16:52:26.329330,0 days 00:00:19.339623,40,4,2,185,COMPLETE
5,0.9400948605764875,2024-06-06 16:52:07.022387,2024-06-06 16:52:16.290105,0 days 00:00:09.267718,31,2,4,83,COMPLETE
6,0.9351534153606406,2024-06-06 16:52:07.048466,2024-06-06 16:52:16.390974,0 days 00:00:09.342508,34,5,4,84,COMPLETE
7,0.9417911453626882,2024-06-06 16:52:07.117301,2024-06-06 16:52:25.959996,0 days 00:00:18.842695,32,1,2,173,COMPLETE
8,0.9410956101139949,2024-06-06 16:52:07.211301,2024-06-06 16:52:20.211157,0 days 00:00:12.999856,37,1,3,118,COMPLETE
9,0.94120689610607,2024-06-06 16:52:07.238327,2024-06-06 16:52:37.958275,0 days 00:00:30.719948,28,1,4,285,COMPLETE
10,0.9392859456998651,2024-06-06 16:52:07.266702,2024-06-06 16:52:23.362869,0 days 00:00:16.096167,45,3,3,155,COMPLETE
11,0.9395590771830583,2024-06-06 16:52:07.278948,2024-06-06 16:52:33.917175,0 days 00:00:26.638227,29,3,4,262,COMPLETE
12,0.9362163548100175,2024-06-06 16:52:07.285859,2024-06-06 16:52:25.168203,0 days 00:00:17.882344,30,5,2,178,COMPLETE
13,0.9408691458234627,2024-06-06 16:52:07.323836,2024-06-06 16:52:35.397983,0 days 00:00:28.074147,37,2,2,272,COMPLETE
14,0.9373753647891856,2024-06-06 16:52:07.359433,2024-06-06 16:52:20.514133,0 days 00:00:13.154700,36,4,5,124,COMPLETE
15,0.9356724086671695,2024-06-06 16:52:07.449354,2024-06-06 16:52:19.575346,0 days 00:00:12.125992,40,5,2,118,COMPLETE
16,0.9394766001370006,2024-06-06 16:52:07.461750,2024-06-06 16:52:26.408194,0 days 00:00:18.946444,30,3,3,186,COMPLETE
17,0.9402006734684184,2024-06-06 16:52:07.473619,2024-06-06 16:52:18.112931,0 days 00:00:10.639312,28,2,2,100,COMPLETE
18,0.9360813492686216,2024-06-06 16:52:07.567807,2024-06-06 16:52:34.080088,0 days 00:00:26.512281,35,5,4,276,COMPLETE
19,0.936084721330132,2024-06-06 16:52:07.584813,2024-06-06 16:52:31.568437,0 days 00:00:23.983624,27,5,5,249,COMPLETE
20,0.9354484051776853,2024-06-06 16:52:07.615922,2024-06-06 16:52:18.361277,0 days 00:00:10.745355,32,5,5,106,COMPLETE
21,0.9360166935446235,2024-06-06 16:52:07.683540,2024-06-06 16:52:29.518444,0 days 00:00:21.834904,35,5,2,229,COMPLETE
22,0.9370966923955402,2024-06-06 16:52:07.690433,2024-06-06 16:52:17.727622,0 days 00:00:10.037189,45,4,3,97,COMPLETE
23,0.939498508121972,2024-06-06 16:52:07.765266,2024-06-06 16:52:27.352992,0 days 00:00:19.587726,38,3,4,192,COMPLETE
24,0.9416994930595463,2024-06-06 16:52:07.767137,2024-06-06 16:52:33.641323,0 days 00:00:25.874186,44,1,2,241,COMPLETE
25,0.9405193246342566,2024-06-06 16:52:07.773849,2024-06-06 16:52:22.390932,0 days 00:00:14.617083,26,2,4,142,COMPLETE
26,0.9393868780257435,2024-06-06 16:52:07.801273,2024-06-06 16:52:29.913257,0 days 00:00:22.111984,33,3,3,222,COMPLETE
27,0.9409916101765105,2024-06-06 16:52:07.849676,2024-06-06 16:52:24.263179,0 days 00:00:16.413503,28,1,5,158,COMPLETE
28,0.939510773202784,2024-06-06 16:52:07.911216,2024-06-06 16:52:27.702551,0 days 00:00:19.791335,39,3,2,195,COMPLETE
